Frame,Timestamp,Metric,Value,Feedback,Reps
58,1.93,Elbow Angle,173.5899103050634,Correct Form,1
59,1.97,Elbow Angle,174.36418343556113,Correct Form,1
60,2.0,Elbow Angle,174.62185427693066,Correct Form,1
61,2.03,Elbow Angle,174.43508490917114,Correct Form,1
62,2.07,Elbow Angle,173.20907754603556,Correct Form,1
63,2.1,Elbow Angle,171.11589644725026,Correct Form,1
64,2.13,Elbow Angle,162.56594436765764,Correct Form,1
65,2.17,Elbow Angle,143.0462520589125,Correct Form,1
66,2.2,Elbow Angle,110.80469633014297,Correct Form,1
67,2.23,Elbow Angle,95.30489190738221,Correct Form,1
68,2.27,Elbow Angle,83.54593465283862,Correct Form,1
69,2.3,Elbow Angle,81.97483878335855,Correct Form,1
70,2.33,Elbow Angle,54.059771109292,Too Curled Form,2
71,2.37,Elbow Angle,29.69638277117041,Too Curled Form,2
72,2.4,Elbow Angle,8.528774159254896,Too Curled Form,2
73,2.43,Elbow Angle,4.698954826770354,Too Curled Form,2
74,2.47,Elbow Angle,4.463057135849174,Too Curled Form,2
75,2.5,Elbow Angle,28.987615987146242,Correct Form,2
76,2.53,Elbow Angle,79.96176320863331,Correct Form,2
77,2.57,Elbow Angle,130.50987326411965,Correct Form,2
78,2.6,Elbow Angle,160.76549977216885,Correct Form,2
79,2.63,Elbow Angle,163.93256258032696,Correct Form,2
80,2.67,Elbow Angle,168.70331183494952,Correct Form,2
81,2.7,Elbow Angle,170.1514237224845,Correct Form,2
82,2.73,Elbow Angle,171.42023653161743,Correct Form,2
83,2.77,Elbow Angle,173.17219317656944,Correct Form,2
84,2.8,Elbow Angle,170.52519334041244,Correct Form,2
85,2.83,Elbow Angle,171.17324863443062,Correct Form,2
86,2.87,Elbow Angle,171.5140076039689,Correct Form,2
87,2.9,Elbow Angle,119.83571718982434,Too Curled Form,2
88,2.93,Elbow Angle,65.30972028837618,Too Curled Form,2
89,2.97,Elbow Angle,8.680054547958276,Too Curled Form,3
90,3.0,Elbow Angle,8.391061446522377,Too Curled Form,3
91,3.03,Elbow Angle,4.97183617571085,Too Curled Form,3
92,3.07,Elbow Angle,3.0828755329850357,Too Curled Form,3
93,3.1,Elbow Angle,1.20162814873915,Too Curled Form,3
94,3.13,Elbow Angle,3.2377811170168997,Too Curled Form,3
95,3.17,Elbow Angle,7.787340939414463,Too Curled Form,3
96,3.2,Elbow Angle,24.640636940279094,Correct Form,3
97,3.23,Elbow Angle,41.393146704608846,Correct Form,3
98,3.27,Elbow Angle,50.194481591049794,Correct Form,3
99,3.3,Elbow Angle,48.40285525550252,Correct Form,3
100,3.33,Elbow Angle,46.57804879073158,Correct Form,3
101,3.37,Elbow Angle,45.10974942134402,Correct Form,3
102,3.4,Elbow Angle,40.09026498386256,Correct Form,3
103,3.43,Elbow Angle,32.068905776325025,Too Curled Form,3
104,3.47,Elbow Angle,34.709133824920784,Correct Form,3
105,3.5,Elbow Angle,42.07213609359161,Correct Form,3
106,3.53,Elbow Angle,47.64495891335036,Correct Form,3
107,3.57,Elbow Angle,45.807882281709276,Correct Form,3
108,3.6,Elbow Angle,40.434376561161635,Correct Form,3
109,3.63,Elbow Angle,51.40287433553766,Correct Form,3
110,3.67,Elbow Angle,51.100398805122445,Correct Form,3
111,3.7,Elbow Angle,54.451332219421396,Correct Form,3
112,3.73,Elbow Angle,37.17012307988506,Too Curled Form,3
113,3.77,Elbow Angle,38.64168052123228,Correct Form,3
114,3.8,Elbow Angle,35.62928529521426,Correct Form,3
115,3.83,Elbow Angle,28.558112479295875,Too Curled Form,3
116,3.87,Elbow Angle,15.526710519150937,Too Curled Form,3
117,3.9,Elbow Angle,2.9794203550761558,Too Curled Form,3
118,3.93,Elbow Angle,2.127877893676246,Too Curled Form,3
119,3.97,Elbow Angle,0.9444258517242918,Too Curled Form,3
120,4.0,Elbow Angle,1.2941732767365977,Too Curled Form,3
121,4.03,Elbow Angle,3.131777458328972,Too Curled Form,3
122,4.07,Elbow Angle,6.378950210316983,Too Curled Form,3
123,4.1,Elbow Angle,12.994162294360587,Too Curled Form,3
124,4.13,Elbow Angle,17.719195107942713,Too Curled Form,3
125,4.17,Elbow Angle,18.79632393788977,Too Curled Form,3
126,4.2,Elbow Angle,18.864131571329924,Too Curled Form,3
127,4.23,Elbow Angle,21.553810735855524,Too Curled Form,3
128,4.27,Elbow Angle,26.07486533487516,Too Curled Form,3
129,4.3,Elbow Angle,23.079824122371974,Too Curled Form,3
130,4.33,Elbow Angle,16.624616782251817,Too Curled Form,3
131,4.37,Elbow Angle,10.96128498483692,Too Curled Form,3
132,4.4,Elbow Angle,9.477181496114795,Too Curled Form,3
133,4.43,Elbow Angle,10.143870301497236,Too Curled Form,3
134,4.47,Elbow Angle,10.176140790505293,Too Curled Form,3
135,4.5,Elbow Angle,17.17641850083243,Correct Form,3
136,4.53,Elbow Angle,26.148651960769964,Correct Form,3
137,4.57,Elbow Angle,32.80787508950538,Too Curled Form,3
138,4.6,Elbow Angle,29.153096016207087,Too Curled Form,3
139,4.63,Elbow Angle,17.12518319233821,Too Curled Form,3
140,4.67,Elbow Angle,8.661917044543983,Too Curled Form,3
141,4.7,Elbow Angle,3.8783134336385476,Too Curled Form,3
142,4.73,Elbow Angle,5.254800933301777,Too Curled Form,3
143,4.77,Elbow Angle,10.007616313467855,Too Curled Form,3
144,4.8,Elbow Angle,16.71872557385035,Too Curled Form,3
145,4.83,Elbow Angle,21.369599347061243,Too Curled Form,3
146,4.87,Elbow Angle,22.516447723675693,Too Curled Form,3
147,4.9,Elbow Angle,21.276936280452134,Too Curled Form,3
148,4.93,Elbow Angle,21.549820227883487,Too Curled Form,3
149,4.97,Elbow Angle,20.441037187776065,Too Curled Form,3
150,5.0,Elbow Angle,15.620330603778001,Too Curled Form,3
